seq_id	superkingdom	kingdom	superphylum	phylum	subphylum	superclass	class	subclass	superorder	order	suborder	superfamily	family	subfamily	genus	subgenus	species 
b10859	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	-	-	[Eubacterium] siraeum
b13516	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	-	-	[Clostridium] methylpentosum
b16647	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	-	-	[Eubacterium] siraeum
b16655	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	-	-	[Eubacterium] siraeum
b26802	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	-	-	[Clostridium] sporosphaeroides
b26859	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	-	-	[Eubacterium] siraeum
b16954	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Bacillales	-	-	Sporolactobacillaceae	-	-	-	[Bacillus] selenitireducens
b6802	Bacteria	-	-	Firmicutes	-	-	Tissierellia	-	-	Tissierellales	-	-	Tissierellaceae	-	-	-	[Clostridium] ultunense
b23406	Bacteria	-	-	Firmicutes	-	-	Tissierellia	-	-	Tissierellales	-	-	Tissierellaceae	-	-	-	[Clostridium] ultunense
b21566	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Xanthomonadales	-	-	Xanthomonadaceae	-	-	-	[Pseudomonas] geniculata
b34202	Bacteria	-	-	Abditibacteriota	-	-	Abditibacteria	-	-	Abditibacteriales	-	-	Abitibacteriaceae	-	Abditibacterium	-	Abditibacterium utsteinense
b3350	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Aerococcaceae	-	Abiotrophia	-	Abiotrophia defectiva
b14107	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Aerococcaceae	-	Abiotrophia	-	Abiotrophia defectiva
b18058	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Aerococcaceae	-	Abiotrophia	-	Abiotrophia defectiva
b18059	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Aerococcaceae	-	Abiotrophia	-	Abiotrophia defectiva
b18060	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Aerococcaceae	-	Abiotrophia	-	Abiotrophia defectiva
b18061	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Aerococcaceae	-	Abiotrophia	-	Abiotrophia defectiva
b35711	Bacteria	-	-	Firmicutes	-	-	Erysipelotrichia	-	-	Erysipelotrichales	-	-	Erysipelotrichaceae	-	Absicoccus	-	Absicoccus porci
b24199	Eukaryota	-	-	Discosea	-	-	-	-	-	Longamoebia	-	-	Acanthamoebidae	-	Acanthamoeba	-	Acanthamoeba castellanii
b32977	Eukaryota	-	-	Bacillariophyta	-	-	Coscinodiscophyceae	Chaetocerotophycidae	-	Chaetocerotales	-	-	Acanthocerataceae	-	Acanthoceras	-	Acanthoceras zachariasii
b26942	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Micrococcaceae	-	Acaricomes	-	Acaricomes phytoseiuli
b26943	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Micrococcales	-	-	Micrococcaceae	-	Acaricomes	-	Acaricomes phytoseiuli
b33404	Eukaryota	Fungi	-	Basidiomycota	Ustilaginomycotina	-	Exobasidiomycetes	-	-	Exobasidiales	-	-	Cryptobasidiaceae	-	Acaromyces	-	Acaromyces ingoldii
b10637	Bacteria	-	-	Cyanobacteria	-	-	-	-	-	Synechococcales	-	-	Acaryochloridaceae	-	Acaryochloris	-	Acaryochloris marina
b10638	Bacteria	-	-	Cyanobacteria	-	-	-	-	-	Synechococcales	-	-	Acaryochloridaceae	-	Acaryochloris	-	Acaryochloris marina
b10639	Bacteria	-	-	Cyanobacteria	-	-	-	-	-	Synechococcales	-	-	Acaryochloridaceae	-	Acaryochloris	-	Acaryochloris marina
b30182	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Ruminococcaceae	-	Acetanaerobacterium	-	Acetanaerobacterium elongatum
b31497	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Lachnospiraceae	-	Acetatifactor	-	Acetatifactor muris
b35466	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Lactobacillaceae	-	Acetilactobacillus	-	Acetilactobacillus jinshanensis
b35754	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Lactobacillales	-	-	Lactobacillaceae	-	Acetilactobacillus	-	Acetilactobacillus jinshanensis
b30387	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Lachnospiraceae	-	Acetitomaculum	-	Acetitomaculum ruminis
b35583	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Oscillospiraceae	-	Acetivibrio	-	Acetivibrio mesophilus
b18074	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Eubacteriales	-	-	Peptostreptococcaceae	-	Acetoanaerobium	-	Acetoanaerobium sticklandii
b3455	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	Acetobacter subgen. Acetobacter	Acetobacter aceti
b14572	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter pasteurianus
b15761	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	Acetobacter subgen. Acetobacter	Acetobacter aceti
b18786	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter pomorum
b19222	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter tropicalis
b21844	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter pasteurianus
b21845	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter pasteurianus
b27625	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	Acetobacter subgen. Acetobacter	Acetobacter aceti
b29682	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter orientalis
b29683	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter okinawensis
b29684	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter malorum
b29685	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter indonesiensis
b29686	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter persici
b29687	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter tropicalis
b29796	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter senegalensis
b29837	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter senegalensis
b29884	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter pasteurianus
b30606	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter syzygii
b30609	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter fabarum
b30909	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter pasteurianus
b30933	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter senegalensis
b30978	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter fabarum
b31241	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter pomorum
b34708	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter oryzifermentans
b35755	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter conturbans
b35756	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter fallax
b35757	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acetobacter	-	Acetobacter oryzoeni
b17719	Bacteria	-	-	Firmicutes	-	-	Clostridia	-	-	Halanaerobiales	-	-	Halobacteroidaceae	-	Acetohalobium	-	Acetohalobium arabaticum
b15353	Bacteria	-	-	Synergistetes	-	-	Synergistia	-	-	Synergistales	-	-	Synergistaceae	-	Acetomicrobium	-	Acetomicrobium hydrogeniformans
b30473	Bacteria	-	-	Synergistetes	-	-	Synergistia	-	-	Synergistales	-	-	Synergistaceae	-	Acetomicrobium	-	Acetomicrobium thermoterrenum
b19237	Bacteria	-	-	Firmicutes	-	-	Negativicutes	-	-	Selenomonadales	-	-	Sporomusaceae	-	Acetonema	-	Acetonema longum
b19238	Bacteria	-	-	Firmicutes	-	-	Negativicutes	-	-	Selenomonadales	-	-	Sporomusaceae	-	Acetonema	-	Acetonema longum
b29297	Eukaryota	-	-	-	-	-	Oomycota	-	-	Saprolegniales	-	-	Saprolegniaceae	-	Achlya	-	Achlya hypogyna
b28059	Bacteria	-	-	Tenericutes	-	-	Mollicutes	-	-	Acholeplasmatales	-	-	Acholeplasmataceae	-	Acholeplasma	-	Acholeplasma brassicae
b28060	Bacteria	-	-	Tenericutes	-	-	Mollicutes	-	-	Acholeplasmatales	-	-	Acholeplasmataceae	-	Acholeplasma	-	Acholeplasma palmae
b30065	Bacteria	-	-	Tenericutes	-	-	Mollicutes	-	-	Acholeplasmatales	-	-	Acholeplasmataceae	-	Acholeplasma	-	Acholeplasma laidlawii
b33078	Bacteria	-	-	Tenericutes	-	-	Mollicutes	-	-	Acholeplasmatales	-	-	Acholeplasmataceae	-	Acholeplasma	-	Acholeplasma laidlawii
b34778	Bacteria	-	-	Tenericutes	-	-	Mollicutes	-	-	Acholeplasmatales	-	-	Acholeplasmataceae	-	Acholeplasma	-	Acholeplasma hippikon
b3351	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter piechaudii
b3352	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter xylosoxidans
b16614	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter piechaudii
b18089	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter xylosoxidans
b18414	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter xylosoxidans
b18415	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter xylosoxidans
b19221	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter xylosoxidans
b20995	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter piechaudii
b28581	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter denitrificans
b29332	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter arsenitoxydans
b30055	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter insolitus
b30059	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter marplatensis
b30070	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter marplatensis
b30071	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter insolitus
b31447	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter ruhlandii
b31531	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter pulmonis
b31923	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter spanius
b31924	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter spanius
b32323	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter mucicolens
b32491	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter insolitus
b32492	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter insolitus
b33492	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter dolens
b33513	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter insuavis
b34449	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter aegrifaciens
b34992	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter agilis
b35006	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter aloeverae
b35007	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter aloeverae
b35673	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Alcaligenaceae	-	Achromobacter	-	Achromobacter veterisilvae
b10203	Bacteria	-	-	Firmicutes	-	-	Negativicutes	-	-	Acidaminococcales	-	-	Acidaminococcaceae	-	Acidaminococcus	-	Acidaminococcus fermentans
b16010	Bacteria	-	-	Firmicutes	-	-	Negativicutes	-	-	Acidaminococcales	-	-	Acidaminococcaceae	-	Acidaminococcus	-	Acidaminococcus fermentans
b17874	Bacteria	-	-	Firmicutes	-	-	Negativicutes	-	-	Acidaminococcales	-	-	Acidaminococcaceae	-	Acidaminococcus	-	Acidaminococcus fermentans
b19661	Bacteria	-	-	Firmicutes	-	-	Negativicutes	-	-	Acidaminococcales	-	-	Acidaminococcaceae	-	Acidaminococcus	-	Acidaminococcus intestini
b28582	Bacteria	-	-	Firmicutes	-	-	Negativicutes	-	-	Acidaminococcales	-	-	Acidaminococcaceae	-	Acidaminococcus	-	Acidaminococcus massiliensis
b33460	Bacteria	-	-	Firmicutes	-	-	Bacilli	-	-	Bacillales	-	-	-	-	Acidibacillus	-	Acidibacillus sulfuroxidans
b35758	Bacteria	-	-	Proteobacteria	-	-	Gammaproteobacteria	-	-	Chromatiales	-	-	Ectothiorhodospiraceae	-	Acidihalobacter	-	Acidihalobacter yilgarnensis
b35759	Bacteria	-	-	Bacteroidetes	-	-	Flavobacteriia	-	-	Flavobacteriales	-	-	Cryomorphaceae	-	Acidiluteibacter	-	Acidiluteibacter ferrifornacis
b29121	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodobacterales	-	-	Rhodobacteraceae	-	Acidimangrovimonas	-	Acidimangrovimonas indica
b13682	Bacteria	-	-	Actinobacteria	-	-	Acidimicrobiia	-	-	Acidimicrobiales	-	-	Acidimicrobiaceae	-	Acidimicrobium	-	Acidimicrobium ferrooxidans
b13683	Bacteria	-	-	Actinobacteria	-	-	Acidimicrobiia	-	-	Acidimicrobiales	-	-	Acidimicrobiaceae	-	Acidimicrobium	-	Acidimicrobium ferrooxidans
b8462	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidiphilium	-	Acidiphilium cryptum
b10187	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidiphilium	-	Acidiphilium cryptum
b18632	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidiphilium	-	Acidiphilium multivorum
b18633	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidiphilium	-	Acidiphilium multivorum
b28680	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidiphilium	-	Acidiphilium rubrum
b28953	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidiphilium	-	Acidiphilium rubrum
b35004	Bacteria	-	-	Acidobacteria	-	-	Acidobacteriia	-	-	Acidobacteriales	-	-	Acidobacteriaceae	-	Acidipila	-	Acidipila dinghuensis
b21709	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium acidipropionici
b21710	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium acidipropionici
b30905	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium acidipropionici
b34396	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium jensenii
b34397	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium jensenii
b34425	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium acidipropionici
b34426	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium acidipropionici
b34541	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium jensenii
b34542	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium jensenii
b34791	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Propionibacteriales	-	-	Propionibacteriaceae	-	Acidipropionibacterium	-	Acidipropionibacterium timonense
b12550	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus ferrooxidans
b12557	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus ferrooxidans
b12750	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus ferrooxidans
b14498	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus caldus
b19065	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus ferrivorans
b19395	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus caldus
b29286	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus thiooxidans
b29421	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus ferrivorans
b33342	Bacteria	-	-	Proteobacteria	-	-	Acidithiobacillia	-	-	Acidithiobacillales	-	-	Acidithiobacillaceae	-	Acidithiobacillus	-	Acidithiobacillus ferrooxidans
b15757	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidomonas	-	Acidomonas methanolica
b15758	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidomonas	-	Acidomonas methanolica
b15759	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidomonas	-	Acidomonas methanolica
b15760	Bacteria	-	-	Proteobacteria	-	-	Alphaproteobacteria	-	-	Rhodospirillales	-	-	Acetobacteraceae	-	Acidomonas	-	Acidomonas methanolica
b8465	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Acidothermales	-	-	Acidothermaceae	-	Acidothermus	-	Acidothermus cellulolyticus
b9498	Bacteria	-	-	Actinobacteria	-	-	Actinomycetia	-	-	Acidothermales	-	-	Acidothermaceae	-	Acidothermus	-	Acidothermus cellulolyticus
b3353	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Comamonadaceae	-	Acidovorax	-	Acidovorax facilis
b9338	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Comamonadaceae	-	Acidovorax	-	Acidovorax avenae
b14380	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Comamonadaceae	-	Acidovorax	-	Acidovorax delafieldii
b15879	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Comamonadaceae	-	Acidovorax	-	Acidovorax avenae
b16505	Bacteria	-	-	Proteobacteria	-	-	Betaproteobacteria	-	-	Burkholderiales	-	-	Comamonadaceae	-	Acidovorax	-	Acidovorax ebreus
